Reboiler_Spec,Condenser_Spec,Condenser_Duty,Reboiler_Duty,T_top,T_mid,T_bottom,Condenser_Duty_predicted,Reboiler_Duty_predicted,T_top_predicted,T_mid_predicted,T_bottom_predicted,Prediction_Error,Threshold,Anomaly,Health_Index_%
1.45778,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.45778,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.45778,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.45778,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.45778,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.45778,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.45778,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.45778,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.45778,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.50667,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.50667,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.50667,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.50667,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.50667,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.50667,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.50667,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.50667,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.50667,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.50667,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.55556,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.55556,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.55556,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.55556,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.55556,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.55556,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.55556,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.55556,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
